relative_time,DecibelSource,PitchSensor
26545,64.81990096330233,201.11018105158732
26607,62.76589546089343,201.11018105158732
26674,66.79390734678475,
26745,64.7287341524356,443.41145833333337
26807,66.64164741537591,444.6809895833333
26874,67.32469754707944,444.6809895833333
26946,62.35296845606072,442.875
27007,68.32845360572996,263.701171875
27074,67.36530993208929,262.5364583333333
27145,69.7906136415425,
27207,67.2816451827539,
27274,65.80149849534725,526.6687499999999
27346,65.33898719724931,441.41517857142856
27407,64.85051159304356,525.8498263888888
27474,69.45753146805764,525.8498263888888
27545,67.50197026024321,441.853515625
27607,68.48210122783863,315.69642857142856
27674,66.63077675614215,
27745,66.3245911439551,526.8888888888889
27807,69.86098190109712,526.8888888888889
27874,66.57407546343318,421.1875
27945,67.80072727565135,
28007,66.40521485621801,441.4044270833333
28073,67.67932965853764,441.4044270833333
28145,67.78058952999295,441.346875
28207,68.5515272794366,442.66145833333337
28273,69.68672922508024,441.6015625
28345,68.13522211405291,233.78869047619048
28407,66.43468567425363,233.78869047619048
28473,66.71147099123534,
28545,67.64560996384387,623.06640625
28607,67.68081448199297,625.1399739583333
28673,67.18956919647567,623.544921875
28745,71.04410283559403,623.544921875
28807,67.29333775149644,
28873,69.91957953915217,208.76041666666666
28945,66.65810365489324,263.8495163690476
29007,68.31070679670493,263.8495163690476
29073,67.27460327576657,
29145,66.09406992597738,263.74479166666663
29207,71.98045400649033,178.2175099206349
29273,68.0086232274756,
29345,67.89528678312392,
29407,67.37720077590518,178.60491071428572
29473,66.19777848673984,
29545,65.22809382912845,316.1220238095238
29606,66.94178854722473,316.1220238095238
29673,69.00249443490851,312.77948288690476
29745,67.37005760425072,315.8102678571429
29806,66.29241557839548,314.28348214285717
29873,67.4743060877904,314.0736607142857
29962,68.74322218495708,396.90755208333337
30006,66.8027031901572,396.90755208333337
30073,65.55042305915737,
30144,68.58013262063714,530.4166666666667
30206,69.87614253707338,530.4166666666667
30273,67.59817518314864,
30344,68.4303876651642,2209.53125
30406,67.8944123611988,2404.84375
30473,68.1905218064936,
30545,63.12963749871025,
30606,69.52050846716203,1597.5
30673,67.85105510263244,
30745,67.32291205962768,3612.1875
30806,68.12082324630444,
30873,68.06306918706487,
30944,72.67912917493368,2274.0625
31006,67.27161123706378,1442.96875
31073,69.9087282406218,733.125
31145,69.9635824103606,733.125
31206,70.17072758085851,
31273,68.50862226123718,514.8697916666667
31344,67.26036433208037,
31406,69.53534950207442,737.5260416666667
31473,65.37279605559658,737.5260416666667
31544,71.26361681443451,
31606,68.1109782413344,962.265625
31673,68.82198894254155,
31745,67.03502712005441,
31806,67.09100366407446,2939.21875
31873,72.45400921313072,2237.65625
31944,67.0176358936864,
32006,67.75214706662722,1582.03125
32073,67.85497326465666,1582.03125
32144,66.3934263029983,1029.0625
32206,67.18746834121986,
32273,66.6712481988037,318.07142857142856
32344,66.46499201692714,318.07142857142856
32406,64.37723141171713,470.08333333333337
32473,69.08347899581554,419.94357638888886
32545,66.20881942348132,
32606,67.15875124318859,2212.65625
32673,67.72566148645882,2212.65625
32745,65.90694519572281,2291.25
32806,70.04499312064075,
32873,65.4361552199263,193.939453125
32944,67.06457810437234,
33006,66.04222704034507,
33073,66.99572560596863,529.1369047619048
33144,66.03525864307036,
33206,67.4798843834684,1579.53125
33273,66.01016649468042,1579.53125
33344,63.88218644221699,
33406,69.9698900233387,146.72916666666669
33473,67.01249183991902,
33544,67.72467816366654,1244.6875
33606,67.98502863517302,1244.6875
33673,67.13108246138395,826.4453125
33745,68.777731990836,555.2994791666667
33806,66.94692224582613,
33873,68.08054044718227,
33944,66.03218878598793,2282.03125
34006,68.01930718311927,
34073,67.02778521935619,318.11607142857144
34144,66.59977871209225,411.4583333333333
34206,64.74089600672666,411.4583333333333
34273,63.88722700475175,
34345,68.54782411046737,294.5538194444444
34406,67.73686779778623,
34473,68.52240394630348,320.1116071428571
34544,69.02152909282908,320.1116071428571
34606,66.67202858027125,
34673,67.7423038281724,1593.4375
34744,65.26621477098108,1608.59375
34806,66.36783577299104,1608.59375
34873,67.75262071852144,1670.15625
34960,65.88200644847801,1615.625
35006,67.75640443504692,839.609375
35073,65.47687714750167,
35144,64.01347112380368,
35206,64.30666080985355,332.2366071428571
35273,68.94164587149666,
35344,66.31207887121697,966.640625
35406,65.46940748755434,966.640625
35473,66.63352407929985,
35544,64.63962679450086,325.1272321428571
35606,66.08987039501588,
35673,66.63340905291109,1303.90625
35744,66.34214296288962,1303.90625
35805,66.03014714740146,
35873,65.13259828490536,1240.3125
35945,66.24889270843903,
36006,63.52086383626759,
36073,63.364583328963285,1195.78125
36144,68.52014036125591,775.8984375
36206,67.89264252845756,
36272,66.15370676161791,410.0260416666667
36344,66.68995178936731,410.0260416666667
36406,66.75543814314601,
36472,64.29007205609756,1561.09375
36544,66.44508799657484,1456.875
36606,67.3723869456797,1456.875
36672,67.4533193337823,
36744,67.54470043446997,1156.40625
36806,65.49849066748307,
36873,65.08518945641212,704.0625
36944,65.23198442038907,704.0625
37006,65.04488261111064,
37072,72.84996684928959,817.2786458333333
37144,67.06363974086337,
37206,67.31846364795658,2435.0
37272,65.80469582705226,2435.0
37344,67.5962622595473,1238.75
37406,65.37638542101534,
37472,66.47101761447627,534.7135416666667
37544,69.38028614782718,534.7135416666667
37606,66.79115237437213,
37672,66.9734574947364,233.9453125
37743,66.48392899003143,
37806,66.8263272917818,1557.65625
37872,67.67472006457497,1557.65625
37944,64.41197100016332,
38006,70.46806277741314,338.36830357142856
38072,67.63731070261181,
38144,67.26744238251183,
38206,67.00758735829267,224.96930803571428
38272,66.23481472466739,
38344,65.94806424714682,738.765625
38406,65.20896145695153,
38472,66.65053702064665,
38544,65.80590177737197,1642.8125
38606,67.31334640665808,
38672,65.57801484061797,749.4791666666666
38744,65.48759669840922,749.4791666666666
38806,67.00533426484193,847.3307291666667
38872,61.82857851723385,849.8046875
38944,68.83137183726375,857.1875
39006,66.42230294212489,966.5625
39072,65.69771031355933,966.5625
39144,66.19509990755903,561.2239583333333
39205,65.85539346614125,
39272,66.99854195804755,1562.96875
39343,63.989011671475325,
39405,65.17244208873878,
39472,66.2143968771789,1627.34375
39544,65.35145953504525,2236.40625
39606,65.05806623489914,2446.40625
39672,65.14750641642927,2446.40625
39745,61.65982266612653,
39805,62.97874266038981,338.24479166666663
39872,68.19510111896946,
39959,65.559452673105,322.5859375
40005,65.9949476147433,322.5859375
40072,64.83660172456935,
40144,65.05679223545116,424.65234375
40205,69.96831627547714,
40272,65.17299113126057,
40344,67.3221534074127,1663.125
40405,66.1771151891016,1666.5625
40472,66.94939696175916,
40543,65.5995172710721,799.6875
40605,64.40463859439429,799.6875
40672,63.59638013629882,
40745,63.915596182197135,395.1041666666667
40805,66.568563568251,557.6888020833333
40872,65.17757872948246,557.6888020833333
40945,66.4108366493497,
41005,65.3642131516704,134.0264601934524
41072,64.79908999946215,
41143,65.7237594506209,238.60863095238096
41205,63.53531174235339,238.60863095238096
41272,65.07328598783764,
41344,65.13674434670713,320.2455357142857
41405,64.85459777506452,316.92857142857144
41472,64.62340187958411,317.6897321428571
41544,63.65618627975476,317.6897321428571
41605,62.23488931969189,311.79017857142856
41672,63.616643866238206,
41744,66.6202259111109,161.75662202380948
41805,65.54219171467118,161.75662202380948
41872,66.07068168028201,
41943,65.79280437963348,224.83258928571428
42005,64.80412430666435,
42072,65.96937361209658,398.4375
42144,66.40252005288109,398.4375
42205,65.8930572088891,
42272,65.35815213908302,1573.75
42344,63.612842515391854,
42405,65.3446475046535,
42472,64.72190913523383,563.6783854166667
42544,61.86475182487459,317.50669642857144
42605,69.9861726581701,334.91294642857144
42672,66.29550670921157,
42743,64.91927728866231,
42805,63.83712343417929,1652.34375
42872,65.12643845944977,
42944,67.02603788828347,1603.59375
43005,63.43129019087592,1603.59375
43071,64.89645787294373,
43143,65.48676068440317,822.6692708333333
43204,66.44040451471896,
43272,63.91004306239247,310.8359375
43344,63.86233670617818,310.8359375
43405,64.68364317789249,
43472,62.500189487414886,779.9609375
43544,66.94086982742469,559.19921875
43605,64.52777735264982,309.59722222222223
43672,65.04111996539307,309.59722222222223
43744,64.06754039091625,
43805,64.45344950168919,1608.59375
43872,68.32105342320888,
43944,64.5307543422927,
44005,65.5516218839537,269.2001488095238
44072,64.79203042206541,
44142,64.59090487797506,1594.0625
44205,62.65557381811802,
44272,62.96670454405166,
44343,63.066357968795586,792.734375
44405,62.5028139633591,477.19791666666663
44472,65.00589641555234,324.4977678571429
44543,64.18086411586121,324.4977678571429
44605,63.35211697276285,421.08010912698415
44672,64.83305520323151,
44743,63.60216697600691,1635.625
44805,60.89864857890272,
44872,66.91417917894098,
44958,64.60685302038225,218.87239583333331
45005,66.12377548412883,
45072,67.28306047593277,394.763671875
45143,64.1099778209786,393.79557291666663
45205,42.77058835755107,393.79557291666663
45272,42.448706220652426,
45344,65.29073172287485,262.1484375
45405,61.047154655817224,
45472,50.62578224086501,
45543,62.198343439368756,387.11458333333337
45605,36.64359874551141,
45672,36.2293896921149,784.7265625
45743,36.92670699156369,787.3111979166666
45805,68.88817488523055,787.3111979166666
45872,67.42434850208008,
45943,65.39478199817933,274.31510416666663
46005,69.80887749124264,
46072,62.61510524498312,
46143,64.4234099215884,410.8984375
46205,61.82966443549947,389.27734375
46272,68.41741093893225,
46343,64.21083119361158,416.71223958333337
46405,68.12639999180449,416.71223958333337
46472,61.09172408138051,386.75399305555555
46544,67.08807343728172,401.8359375
46605,68.61356714016891,392.1168154761905
46672,61.52322903061871,392.1168154761905
46743,68.92899305940999,
46805,63.331636309231946,851.1458333333333
46872,66.46060370443243,
46943,65.59607540832565,356.34375
47005,64.46697435032208,356.34375
47072,45.073835557363864,374.287109375
47144,38.75408560077064,
47205,42.12932991708014,738.984375
47272,43.248994970523135,740.0
47343,41.204423068733064,740.0
47405,40.85789890327987,739.3359375
47472,39.59613711071044,739.6875
47543,39.334872878487054,742.65625
47604,43.14309722244847,742.65625
47672,63.9622114848034,401.1328125
47744,68.29786182907772,
47805,59.03235993965437,103.51190476190476
47872,66.91317415337764,
47943,68.44226902805539,
48005,65.35202186757984,424.35677083333337
48072,62.25999209943712,374.8567708333333
48144,61.57261790524057,
48205,67.86132111144887,
48272,65.2152197681452,402.10286458333337
48343,67.29853928206225,320.77752976190476
48404,63.86621478169939,
48472,66.129668573937,381.8385416666667
48543,61.336793926843015,381.8385416666667
48605,64.48167212993454,385.2223186728395
48672,66.48734026297598,
48743,67.73345419538836,423.0703125
48805,66.73064242208072,423.0703125
48872,66.86891320022892,339.84375
48943,57.663704567123744,391.015625
49005,60.506438105497374,
49071,50.71362751909951,330.1733630952381
49143,58.64892404520566,330.1733630952381
49205,64.63266915090956,
49272,62.59595551083705,490.71986607142856
49343,55.687518730651306,363.93229166666663
49405,62.710784825691526,363.93229166666663
49472,54.560774199372545,
49544,63.11315532130425,503.1640625
49605,62.56423307072271,350.9350198412698
49671,68.55725593330797,
49744,70.7149011900798,
49805,67.48062761516019,203.30729166666666
49872,64.1234007070407,
49959,61.11333769755988,502.30078125
50005,69.47602064148471,502.30078125
50072,62.93858008643748,535.7924107142858
50143,66.00142261973696,402.30208333333337
50205,63.31765489320673,336.4732142857143
50272,67.98283860445244,407.2439236111111
50344,66.56295267550743,407.2439236111111
50405,60.93952320883684,
50472,67.45830633839753,410.9895833333333
50543,65.97560489882224,505.50520833333337
50605,66.79458968453037,505.50520833333337
50672,63.91685646415587,319.66264880952383
50744,67.01721817205112,403.443287037037
50805,60.94283464499864,384.45963541666663
50872,52.38304594577622,
50943,41.420764610732846,
51005,44.343453125628294,275.8091517857143
51072,44.28442580279988,
51143,42.01233208680875,739.6875
51205,40.00911062131223,739.765625
51272,38.785217955012065,739.765625
51343,38.90029586163417,740.546875
51405,41.02433705681336,742.3177083333333
51472,69.39033219878759,
51543,64.49504162962577,
51605,64.15371547032173,284.08482142857144
51672,63.442417183732765,
51743,66.64507812362177,384.73379629629625
51805,62.76906441094867,
51872,65.43663962554933,
51943,66.5044750467492,1133.28125
52005,65.9219319585287,
52072,64.52280145581345,378.31349206349205
52143,63.12109624923437,368.5904017857143
52205,64.61871883517495,368.5904017857143
52272,63.488591597001474,
52343,63.81420875252371,284.15234375
52405,61.896261673867386,
52472,66.84866358018836,
52544,62.31342137903896,417.5729166666667
52605,68.07813103963956,
52672,63.5265882263819,1197.5390625
52744,53.536239113983385,
52805,67.23218592559833,
52872,60.24687580004005,462.8984375
52944,67.53425474089548,
53005,66.49654911213221,497.12239583333337
53072,62.31823202735402,497.12239583333337
53143,63.68944431356444,
53204,59.62025837268751,1242.5
53272,59.72736812571115,
53343,61.20705515658274,148.08854166666666
53405,67.22671181427995,148.08854166666666
53472,66.24395142107757,184.25083705357144
53544,66.3560708099717,
53605,66.37631302446724,406.4765625
53672,66.86884353900878,
53743,71.21406878628517,
53805,60.5268394034255,1664.6875
53872,71.87283881173259,
53943,65.07101135383786,323.88206845238096
54005,67.31046404595031,323.88206845238096
54072,66.63608592670147,400.400390625
54144,65.90717255285955,406.953125
54205,67.70736208878931,397.197265625
54271,62.204015300920084,
54343,68.6515131193719,
54405,66.09916862515382,275.0876736111111
54472,69.50960869807042,
54543,61.915110960961584,307.390625
54605,60.497481586630364,307.390625
